OBJECTID *,Shape *,PermitNo,FeatCLS,Contact,Source,National_I,Type_Flag,Shape_Leng,Calc_Acres,QUAD_DESC,MINE_STATU,PER_NAME,REGION_DES,PERM_ACT,ACT_INAC,DATE_ISS,PER_TYPE,ORIG_PERM,Shape_Length,Shape_Area
1817,Polygon,8360254,SF,KY Division of Mine Permits,KYDMP,KY8360254,ACT,54835.20548,156.011859,WAYLAND,P1,LOCUST GROVE INC,HAZARD,  MI   5  09/13/2018  MI   4  06/07/2016  MI   3  04/12/2002,Active,9/1/1994,PERMANENT,8360223,54835.20548,6795876.601
1883,Polygon,8360389,SF,KY Division of Mine Permits,DMP E_Shape,KY8360389,ACT,117432.6265,776.269528,LANCER,P1,MATT/CO INC,PIKEVILLE,  RN   2  02/09/2021  AM   1  03/27/2019  MT   3  03/05/2018,Active,1/25/2011,PERMANENT,8360389,117432.6265,33814300.63
1920,Polygon,8360417,SF,KY Division of Mine Permits,DMP E_Shape,KY8360417,ACT,139121.6419,422.389511,HAROLD,SP,METELECTRIC ENERGY LLC,PIKEVILLE,  AM   3  11/18/2019  RN   3  10/21/2019  MT   4  10/02/2017,Active,3/28/2014,PERMANENT,8360292,139121.6416,18399287.17
1933,Polygon,8360427,SF,KY Division of Mine Permits,KYDMP,KY8360427,ACT,11075.91564,22.218399,MCDOWELL,O2,"SOUTHEASTERN LAND, LLC",HAZARD,  RN   3  04/06/2021  MT   4  01/02/2019  MA   4  11/03/2017,Active,6/12/2014,PERMANENT,8360306,11075.91564,967833.4801
1937,Polygon,8360434,SF,KY Division of Mine Permits,CHIA,KY8360434,ACT,56527.237,570.48063,MCDOWELL,A1,REVELATION ENERGY LLC,HAZARD,  MT   3  01/21/2020  MI   2  04/04/2018  RN   1  10/25/2017,Active,7/31/2015,PERMANENT,8360398,56527.237,24850136.29
1942,Polygon,8360437,SF,KY Division of Mine Permits,KYDMP,KY8360437,ACT,40198.25375,234.750218,MCDOWELL,RV,REVELATION ENERGY LLC,HAZARD,  MT   3  04/04/2018  MT   2  06/07/2016  SU   3  07/07/2015,Active,7/7/2015,PERMANENT,8360349,40198.25341,10225718.94
1946,Polygon,8360440,SF,KY Division of Mine Permits,KYDMP,KY8360440,ACT,49381.38129,189.424484,WAYLAND,RV,REVELATION ENERGY LLC,HAZARD,  FR   3  09/21/2018  SU   4  04/18/2016  MT   3  07/28/2016,Active,4/18/2016,PERMANENT,8360322,49381.38131,8251330.45
1950,Polygon,8360442,SF,KY Division of Mine Permits,KYDMP,KY8360442,ACT,107965.4535,695.296564,THOMAS,A2,REVELATION ENERGY LLC,PIKEVILLE,  MT   3  10/06/2016  SU   1  10/01/2015,Active,10/1/2015,PERMANENT,8360355,107965.4535,30287118.48
1953,Polygon,8360444,SF,KY Division of Mine Permits,DMP E_Shape,KY8360444,ACT,100352.7511,415.428612,MARTIN,A2,"SPURLOCK MINING, LLC",HAZARD,  MT   3  02/03/2020  MI   3  07/19/2019  RN   1  12/14/2017,Active,4/4/2016,PERMANENT,8360409,100352.7493,18096070.27
1954,Polygon,8360445,SF,KY Division of Mine Permits,DMP E_Shape,KY8360445,ACT,61658.69933,295.262369,MARTIN,P1,"SPURLOCK MINING, LLC",HAZARD,  AM   2  04/16/2021  MT   3  06/22/2018  SU   2  06/03/2016,Active,6/3/2016,PERMANENT,8360358,61658.70124,12861628.57
1956,Polygon,8360446,SF,KY Division of Mine Permits,DMP E_Shape,KY8360446,ACT,111916.5666,524.375299,MCDOWELL,P1,"SPURLOCK MINING, LLC",HAZARD,  MT   5  03/10/2021  MI  10  06/05/2019  MA   9  05/02/2019,Active,1/11/2017,PERMANENT,8360332,111916.5629,22841787.94
1958,Polygon,8360447,SF,KY Division of Mine Permits,DMP E_Shape,KY8360447,ACT,87317.08103,329.798683,HAROLD,P1,"SPURLOCK MINING, LLC",HAZARD,  MA  12  04/20/2021  MT   5  12/29/2020  FR   6  01/07/2020,Active,3/31/2016,PERMANENT,8360339,87317.07984,14366030.87
1960,Polygon,8360448,SF,KY Division of Mine Permits,DMP E_Shape,KY8360448,ACT,43288.26604,163.684304,HAROLD,A2,"SPURLOCK MINING, LLC",HAZARD,  MT   5  10/08/2020  MI   8  09/13/2018  MI   7  09/07/2018,Active,7/7/2016,PERMANENT,8360350,43288.26087,7130088.325
1961,Polygon,8360449,SF,KY Division of Mine Permits,DMP E_Shape,"KY8360449
",ACT,63837.92213,411.434449,IVYTON,ND,"SPURLOCK MINING, LLC",HAZARD,  MT   5  04/19/2021  MT   4  08/17/2020  RN   2  02/08/2019,Active,5/26/2016,PERMANENT,8360348,39677.71345,10273449.7
1963,Polygon,8360450,SF,KY Division of Mine Permits,KYDMP,KY8360450,ACT,76160.02085,350.942911,IVYTON,P1,EMBER ENERGY LLC,HAZARD,  MT   3  10/25/2018  MA   2  02/21/2018  RN   1  07/07/2016,Active,12/15/2015,PERMANENT,8360356,40865.95704,7268449.263
1964,Polygon,8360451,SF,KY Division of Mine Permits,KYDMP,KY8360451,ACT,73930.52789,168.193112,DAVID,A2,EMBER ENERGY LLC,HAZARD,  MA   7  03/22/2019  FR   8  08/18/2016  MT   7  01/25/2017,Active,2/10/2016,PERMANENT,8360074,65476.08655,7054092.717
1965,Polygon,8360452,SF,KY Division of Mine Permits,DMP E_Shape,KY8360452,ACT,54528.44237,700.936193,IVYTON,A2,EMBER ENERGY LLC,HAZARD,  MA   9  03/22/2019  FR   6  07/07/2016  SU   5  02/23/2016,Active,2/23/2016,PERMANENT,8360068,49547.9355,24477833.58
1967,Polygon,8360453,SF,KY Division of Mine Permits,KYDMP,KY8360453,ACT,16315.99654,22.946772,IVYTON,A1,EMBER ENERGY LLC,HAZARD,  FR   2  09/19/2017  MT   6  04/22/2016  SU   5  12/15/2015,Active,12/15/2015,PERMANENT,2360242,16315.99654,999561.3284
1968,Polygon,8360454,SF,KY Division of Mine Permits,KYDMP,KY8360454,ACT,40332.40089,104.977241,WAYLAND,A2,LIBERTY MANAGEMENT LLC,HAZARD,  FR   1  09/08/2016  SU   1  11/05/2015,Active,11/5/2015,PERMANENT,8360326,40332.40124,4572808.542
1972,Polygon,8360456,SF,KY Division of Mine Permits,CHIA,KY8360456,ACT,12337.60333,43.471163,DAVID,P2,LIBERTY MANAGEMENT LLC,HAZARD,  MI   4  12/08/2016  MT   2  08/01/2016  SU   3  11/05/2015,Active,11/5/2015,PERMANENT,8360320,12337.60333,1893603.838
1973,Polygon,8360457,SF,KY Division of Mine Permits,KYDMP,KY8360457,ACT,77371.0772,301.539887,MARTIN,P2,LIBERTY MANAGEMENT LLC,HAZARD,  MI   2  09/13/2016  FR   2  09/09/2016  SU   2  11/05/2015,Active,11/5/2015,PERMANENT,8360342,77371.0772,13135077.59
1975,Polygon,8360458,SF,KY Division of Mine Permits,KYDMP,KY8360458,ACT,84190.76184,265.962228,MARTIN,P1,LIBERTY MANAGEMENT LLC,HAZARD,  FR   2  09/09/2016  SU   2  11/05/2015,Active,11/5/2015,PERMANENT,8360343,84190.76184,11585314.62
1979,Polygon,8360460,SF,KY Division of Mine Permits,KYDMP,KY8360460,ACT,14197.70479,73.655847,MARTIN,P1,"SPURLOCK MINING, LLC",HAZARD,  RN   3  03/30/2021  MT   4  05/01/2018  MI   5  12/13/2016,Active,9/19/2016,PERMANENT,8360311,14197.70479,3208448.708
1981,Polygon,8360461,SF,KY Division of Mine Permits,KYDMP,KY8360461,ACT,40260.84358,566.96395,BROAD BOTTOM,P2,LEXINGTON COAL COMPANY LLC,PIKEVILLE,  MI   5  03/25/2019  SU   4  11/16/2018,Active,11/16/2018,PERMANENT,8360267,40260.84358,24696949.58
1982,Polygon,8360469,SF,KY Division of Mine Permits,DMP E_Shape,KY8360469,ACT,35481.39947,210.480492,MCDOWELL,A2,"CARDINAL RECLAMATION COMPANY, LLC",HAZARD,  SU   2  01/06/2021,Active,1/6/2021,PERMANENT,8360399,35481.30784,9168530.321
2135,Polygon,8365306,SF,KY Division of Mine Permits,KYDMP,KY8365306,ACT,4639.612619,8.397807,LANCER,P1,MATT/CO INC,PIKEVILLE,  MT   4  03/28/2007  MI  13  01/10/2007  MA  12  12/20/2005,Active,5/27/1994,PERMANENT,365099,4639.612619,365808.4635
2137,Polygon,8365307,SF,KY Division of Mine Permits,KYDMP,KY8365307,ACT,7553.172704,32.556302,LANCER,A2,MATT/CO INC,PIKEVILLE,  RN   5  06/15/2020  MT   5  11/02/2015  RN   4  07/07/2014,Active,2/1/1995,PERMANENT,8365307,7553.172704,1418152.436
2143,Polygon,8365314,SF,KY Division of Mine Permits,KYDMP,KY8365314,ACT,7201.881621,6.344063,PIKEVILLE,A1,MATT/CO INC,PIKEVILLE,  MT   8  04/22/2019  RN   5  09/11/2018  MT   7  07/21/2016,Active,8/29/1994,PERMANENT,8365265,7201.882097,276347.3969
2159,Polygon,8365340,SF,KY Division of Mine Permits,KYDMP,KY8365340,ACT,60180.22005,44.092117,LANCER,P1,CZAR COAL CORPORATION,PIKEVILLE,  MT   1  04/23/2001  MI   2  10/18/2000  RN      01/29/1998,Active,2/29/1996,PERMANENT,8365278,59110.12942,1898802.315
2191,Polygon,8365422,SF,KY Division of Mine Permits,KYDMP,KY8365422,ACT,11381.53592,17.775244,HAROLD,O2,MATT/CO INC,PIKEVILLE,  RN   3  04/07/2020  MT   4  04/05/2018  MT   3  07/29/2015,Active,3/10/2005,PERMANENT,8365422,11381.53592,774289.6291
2212,Polygon,8365458,SF,KY Division of Mine Permits,KYDMP,KY8365458,ACT,12695.00879,15.906861,HAROLD,P1,MATT/CO INC,PIKEVILLE,  RN   3  08/14/2020  MT   4  03/08/2017  RN   2  08/01/2014,Active,10/28/2004,PERMANENT,8365458,12695.00879,692902.8294
2218,Polygon,8365467,SF,KY Division of Mine Permits,DMP E_Shape,KY8365467,ACT,45135.44734,354.183918,LANCER,A1,MATT/CO INC,PIKEVILLE,  AM   6  12/30/2020  MT   7  02/11/2020  MI   2  08/02/2018,Active,2/1/2006,PERMANENT,8365410,45135.44815,15428251.58
2232,Polygon,8365486,SF,KY Division of Mine Permits,DMP E_Shape,KY8365486,ACT,3230.117584,8.904696,HAROLD,A1,MATT/CO INC,PIKEVILLE,  MT   4  11/21/2018  RN   2  07/12/2018  MT   3  04/20/2016,Active,9/13/2006,PERMANENT,8365486,3230.117584,387888.5368
2234,Polygon,8365488,SF,KY Division of Mine Permits,KYDMP,KY8365488,ACT,11818.24527,25.671666,LANCER,P1,MATT/CO INC,PIKEVILLE,  MT   3  09/16/2016  MI   2  03/14/2016  MT   2  03/24/2014,Active,3/21/2007,PERMANENT,8365488,11818.24527,1118257.801
2255,Polygon,8365534,SF,KY Division of Mine Permits,DMP E_Shape,KY8365534,ACT,1886.953226,3.885631,LANCER,P1,MASON COAL INC,PIKEVILLE,  RN   2  04/19/2018  MT   3  08/13/2015  MI   5  08/26/2014,Active,4/7/2008,PERMANENT,8365465,1886.953226,169258.1061
2267,Polygon,8365548,SF,KY Division of Mine Permits,DMP E_Shape,KY8365548,ACT,3515.416763,6.856841,HAROLD,O2,MATT/CO INC,PIKEVILLE,  MT   3  12/16/2020  RN   1  04/25/2019  MT   2  07/23/2018,Active,11/5/2013,PERMANENT,8365548,3515.416786,298684.013
2314,Polygon,8365580,SF,KY Division of Mine Permits,KYDMP,KY8365580,ACT,7969.583082,7.28421,HANDSHOE,P2,KENTUCKY FUEL CORPORATION,HAZARD,  MI   5  09/23/2015  SU   1  08/12/2010,Active,8/12/2010,PERMANENT,8365238,7969.583082,317300.1773
2316,Polygon,8365581,SF,KY Division of Mine Permits,KYDMP,KY8365581,ACT,2479.849816,3.749477,HANDSHOE,A2,KENTUCKY FUEL CORPORATION,HAZARD,  MT   1  02/02/2011  SU   1  09/02/2010,Active,9/2/2010,PERMANENT,8365455,2479.849816,163327.209
2326,Polygon,8365587,SF,KY Division of Mine Permits,KYDMP,KY8365587,ACT,11688.88105,15.55154,PRESTONSBURG,O2,MATT/CO INC,HAZARD,  MT   5  04/28/2021  RN   2  12/12/2019  MT   4  10/26/2018,Active,3/31/2011,PERMANENT,8365530,11688.88105,677425.074
2363,Polygon,8365615,SF,KY Division of Mine Permits,KYDMP,KY8365615,ACT,4276.951204,5.475017,MCDOWELL,O2,"SPURLOCK MINING, LLC",HAZARD,  RN   7  04/08/2019  MI   4  01/04/2019  MA   3  03/27/2018,Active,6/20/2017,PERMANENT,2365036,4276.951204,238491.7769
2365,Polygon,8365616,SF,KY Division of Mine Permits,KYDMP,KY8365616,ACT,1558.75244,1.299682,MCDOWELL,O2,"SPURLOCK MINING, LLC",HAZARD,  MT   6  06/18/2021  RN   7  04/08/2019  MI   2  03/01/2019,Active,9/27/2017,PERMANENT,2365033,1558.75244,56614.11508
2367,Polygon,8365617,SF,KY Division of Mine Permits,KYDMP,KY8365617,ACT,1887.189037,2.260374,MCDOWELL,O2,"SPURLOCK MINING, LLC",HAZARD,  RN   7  09/11/2019  MI   3  05/13/2019  SU   1  09/20/2017,Active,9/20/2017,PERMANENT,2365032,1887.189037,98461.89633
2371,Polygon,8365626,SF,KY Division of Mine Permits,KYDMP,KY8365626,ACT,29435.39594,96.310171,HAROLD,SP,APPALACHIAN MINING AND RECLAMATION LLC,PIKEVILLE,  MT   1  08/05/2013  SU   1  04/19/2013,Active,4/19/2013,PERMANENT,8365536,29435.39593,4195270.852
2373,Polygon,8365627,SF,KY Division of Mine Permits,KYDMP,KY8365627,ACT,22761.60504,87.812962,MCDOWELL,P1,MATT/CO INC,PIKEVILLE,  MT   8  07/31/2017  MT   7  01/07/2015  SU   3  04/22/2013,Active,4/22/2013,PERMANENT,8365142,22761.60504,3825132.602
2378,Polygon,8365631,SF,KY Division of Mine Permits,KYDMP,KY8365631,ACT,5961.871997,10.406736,WHEELWRIGHT,O2,"SOUTHEASTERN LAND, LLC",HAZARD,  MT   4  10/08/2018  RN   2  10/18/2016  MT   3  04/22/2016,Active,6/16/2014,PERMANENT,8365463,5961.871996,453317.4361
2380,Polygon,8365632,SF,KY Division of Mine Permits,KYDMP,KY8365632,ACT,7544.733504,9.980525,MCDOWELL,A1,"SOUTHEASTERN LAND, LLC",HAZARD,  MT   4  09/10/2018  RN   2  02/25/2016  MT   3  10/07/2015,Active,6/12/2014,PERMANENT,8365470,7544.733504,434751.6538
2382,Polygon,8365633,SF,KY Division of Mine Permits,KYDMP,KY8365633,ACT,12307.14018,53.056346,MCDOWELL,O2,"SOUTHEASTERN LAND, LLC",HAZARD,  MT   4  01/08/2020  RN   2  08/23/2017  MT   3  08/04/2016,Active,6/12/2014,PERMANENT,8365480,12307.14018,2311134.471
2384,Polygon,8365634,SF,KY Division of Mine Permits,KYDMP,KY8365634,ACT,4088.552344,4.045896,MCDOWELL,O2,"SOUTHEASTERN LAND, LLC",HAZARD,  MT   5  06/12/2020  MT   4  10/19/2018  RN   2  08/15/2018,Active,8/4/2014,PERMANENT,8365468,4088.552344,176239.2074
2394,Polygon,8365642,SF,KY Division of Mine Permits,KYDMP,KY8365642,ACT,2967.656625,6.535534,MCDOWELL,RV,REVELATION ENERGY LLC,HAZARD,  MI   6  02/14/2017  MT   5  05/20/2016  SU   7  04/01/2016,Active,4/1/2016,PERMANENT,365208,2967.656625,284687.8957
2396,Polygon,8365643,SF,KY Division of Mine Permits,DMP E_Shape,KY8365643,ACT,114468.229,297.151416,MCDOWELL,A2,REVELATION ENERGY LLC,HAZARD,  MT   4  12/21/2017  SU   4  06/10/2015,Active,6/10/2015,PERMANENT,8365482,114468.2217,12943915.82
2402,Polygon,8365646,SF,KY Division of Mine Permits,DMP E_Shape,KY8365646,ACT,1394.350349,2.043905,HAROLD,A1,"SPURLOCK MINING, LLC",PIKEVILLE,  RN   2  06/23/2021  MI   3  04/22/2019  MI   2  02/18/2019,Active,1/5/2017,PERMANENT,8365522,1394.350349,89032.50294
2404,Polygon,8365647,SF,KY Division of Mine Permits,KYDMP,KY8365647,ACT,3374.396101,7.042349,MCDOWELL,ND,"SPURLOCK MINING, LLC",HAZARD,  RN   2  04/16/2021  MT   3  09/06/2018  RN   1  03/22/2016,Active,12/4/2015,PERMANENT,8365532,3374.396103,306764.7357
2408,Polygon,8365649,SF,KY Division of Mine Permits,KYDMP,KY8365649,ACT,4597.741157,9.710126,WAYLAND,O2,"SPURLOCK MINING, LLC",HAZARD,  MT   5  11/23/2020  RN   3  12/14/2018  MI   4  08/17/2018,Active,12/2/2015,PERMANENT,8365409,4597.741157,422973.082
2410,Polygon,8365650,SF,KY Division of Mine Permits,DMP E_Shape,"KY8365650
",ACT,46898.75217,83.096618,MCDOWELL,A1,"SPURLOCK MINING, LLC",HAZARD,  RN   7  02/04/2021  MI   6  02/27/2019  MT   7  02/21/2018,Active,5/26/2016,PERMANENT,8365059,46898.7521,3619688.643
2412,Polygon,8365651,SF,KY Division of Mine Permits,KYDMP,KY8365651,ACT,2752.543869,4.485354,MCDOWELL,O2,"SPURLOCK MINING, LLC",PIKEVILLE,  MT   6  11/13/2018  MI   7  04/16/2018  MI   6  10/03/2016,Active,8/10/2016,PERMANENT,8365110,2752.543869,195382.0331
2414,Polygon,8365652,SF,KY Division of Mine Permits,KYDMP,KY8365652,ACT,2571.247075,7.4555,MCDOWELL,O2,"SPURLOCK MINING, LLC",PIKEVILLE,  MT   7  10/24/2019  RN   5  07/18/2017  MI   3  07/06/2017,Active,6/2/2016,PERMANENT,8365186,2571.247075,324761.6015
2416,Polygon,8365655,SF,KY Division of Mine Permits,DMP E_Shape,KY8365655,ACT,2520.58985,5.975744,HAROLD,A1,"SPURLOCK MINING, LLC",PIKEVILLE,  RN   7  11/01/2019  MI   9  03/28/2017  SU   5  01/09/2017,Active,1/9/2017,PERMANENT,365119,2520.58985,260303.396
2418,Polygon,8365656,SF,KY Division of Mine Permits,KYDMP,KY8365656,ACT,6527.798309,8.282707,MCDOWELL,O2,"SPURLOCK MINING, LLC",PIKEVILLE,  MI   8  02/12/2021  RN   7  07/23/2019  MI   7  04/10/2019,Active,6/1/2016,PERMANENT,365184,6527.79831,360794.7578
2423,Polygon,8365659,SF,KY Division of Mine Permits,KYDMP,KY8365659,ACT,4168.452881,8.297951,MCDOWELL,O2,"SPURLOCK MINING, LLC",PIKEVILLE,  MT   8  12/29/2020  MT   7  02/11/2019  RN   6  11/19/2018,Active,12/12/2016,PERMANENT,8365154,4168.452881,361458.7374
2425,Polygon,8365660,SF,KY Division of Mine Permits,KYDMP,KY8365660,ACT,6031.759786,14.961256,WAYLAND,O2,"SPURLOCK MINING, LLC",HAZARD,  MT   6  03/01/2021  RN   4  01/07/2019  MT   5  09/14/2018,Active,12/2/2015,PERMANENT,8365376,6031.759786,651712.2842
2427,Polygon,8365661,SF,KY Division of Mine Permits,KYDMP,KY8365661,ACT,1863.902084,3.216762,MCDOWELL,P2,"SPURLOCK MINING, LLC",HAZARD,  RN   7  08/01/2019  MI   5  04/29/2019  MI   4  05/08/2017,Active,6/3/2016,PERMANENT,8365032,1863.902084,140122.1677
2429,Polygon,8365662,SF,KY Division of Mine Permits,KYDMP,KY8365662,ACT,3884.454661,11.604099,HAROLD,ND,"SPURLOCK MINING, LLC",HAZARD,  RN   4  10/15/2020  MT   5  06/06/2018  SU   3  06/01/2016,Active,6/1/2016,PERMANENT,8365382,3884.454661,505474.5249
2431,Polygon,8365663,SF,KY Division of Mine Permits,DMP E_Shape,KY8365663,ACT,16202.87965,11.297225,HAROLD,A1,"SPURLOCK MINING, LLC",HAZARD,  MI   4  02/02/2021  RN   3  08/24/2020  SU   3  02/08/2017,Active,2/8/2017,PERMANENT,8365408,16202.87995,492107.0765
2433,Polygon,8365664,SF,KY Division of Mine Permits,KYDMP,KY8365664,ACT,5567.363962,5.941116,MCDOWELL,P1,"SPURLOCK MINING, LLC",HAZARD,  MT   5  05/10/2018  SU   4  12/05/2016,Active,12/5/2016,PERMANENT,8365395,5567.363962,258795.0719
2435,Polygon,8365665,SF,KY Division of Mine Permits,KYDMP,KY8365665,ACT,14924.21424,23.099937,MCDOWELL,O2,"SPURLOCK MINING, LLC",HAZARD,  MT   6  08/19/2019  RN   6  03/31/2017  SU   4  11/18/2016,Active,11/18/2016,PERMANENT,8365137,14924.21424,1006233.119
2437,Polygon,8365666,SF,KY Division of Mine Permits,KYDMP,KY8365666,ACT,4989.193616,6.124534,MCDOWELL,O2,"SPURLOCK MINING, LLC",HAZARD,  MT   7  06/19/2020  MT   6  08/07/2018  RN   5  04/16/2018,Active,11/30/2016,PERMANENT,8365296,4989.193617,266784.7121
2439,Polygon,8365667,SF,KY Division of Mine Permits,KYDMP,KY8365667,ACT,3916.279607,7.073685,MARTIN,O2,"SPURLOCK MINING, LLC",HAZARD,  RN   3  02/04/2021  MT   4  03/16/2018  MI   3  01/27/2017,Active,6/1/2016,PERMANENT,8365481,3916.279608,308129.6888
2441,Polygon,8365668,SF,KY Division of Mine Permits,KYDMP,KY8365668,ACT,6989.194647,18.745629,HAROLD,P2,"SPURLOCK MINING, LLC",HAZARD,  MI  10  11/04/2019  MA   9  10/31/2018  MT   6  05/24/2018,Active,5/18/2016,PERMANENT,8365331,6989.194647,816559.6096
2443,Polygon,8365669,SF,KY Division of Mine Permits,DMP E_Shape,KY8365669,ACT,508.585771,0.304285,HAROLD,P1,"SPURLOCK MINING, LLC",PIKEVILLE,  MT   5  05/02/2019  MI   5  03/05/2019  MI   4  10/10/2017,Active,3/31/2017,PERMANENT,8365518,508.585771,13254.64515
2445,Polygon,8365670,SF,KY Division of Mine Permits,KYDMP,KY8365670,ACT,2503.563029,4.768696,MARTIN,O2,"SPURLOCK MINING, LLC",HAZARD,  MT   4  10/17/2019  RN   2  06/28/2017  SU   2  02/24/2017,Active,2/24/2017,PERMANENT,8365523,2503.563003,207724.3905
2447,Polygon,8365671,SF,KY Division of Mine Permits,DMP E_Shape,KY8365671,ACT,120439.6483,426.475003,MCDOWELL,P1,LIBERTY MANAGEMENT LLC,HAZARD,  MI  10  04/10/2018  MI   9  09/21/2017  MI   8  07/28/2017,Active,11/5/2015,PERMANENT,8365423,120439.6474,18577251.35
2451,Polygon,8365673,SF,KY Division of Mine Permits,KYDMP,KY8365673,ACT,11564.31436,14.117648,MARTIN,P1,LIBERTY MANAGEMENT LLC,HAZARD,  MI   3  01/22/2018  SU   5  11/05/2015,Active,11/5/2015,PERMANENT,8365079,11564.31425,614964.7561
2453,Polygon,8365674,SF,KY Division of Mine Permits,KYDMP,KY8365674,ACT,3183.376264,11.227843,WAYLAND,P2,LIBERTY MANAGEMENT LLC,HAZARD,  MT   5  08/29/2016  SU   4  11/05/2015,Active,11/5/2015,PERMANENT,8365415,3183.376264,489084.8342
2455,Polygon,8365679,SF,KY Division of Mine Permits,KYDMP,KY8365679,ACT,20991.50312,56.825465,BROAD BOTTOM,A2,MCCOY ELKHORN COAL LLC DBA MCCOY ELKHORN COAL COMP,PIKEVILLE,  MI   9  03/31/2021  SU   4  07/13/2017,Active,7/13/2017,PERMANENT,8365196,20991.50312,2475317.201
2458,Polygon,8365685,SF,KY Division of Mine Permits,DMP E_Shape,KY8365685,ACT,3551.312583,9.912309,MCDOWELL,A1,"CALVARY ENTERPRISES, LLC",HAZARD,  MI   4  07/02/2020  MI   3  05/28/2019  MT   6  04/29/2019,Active,11/13/2017,PERMANENT,8365490,3551.312583,431780.1651
2460,Polygon,8365686,SF,KY Division of Mine Permits,KYDMP,KY8365686,ACT,25329.15626,28.22473,PIKEVILLE,P1,LEXINGTON COAL COMPANY LLC,PIKEVILLE,  SU   5  04/24/2018,Active,4/24/2018,PERMANENT,8365007,25329.15634,1229469.286
2463,Polygon,8365695,SF,KY Division of Mine Permits,KYDMP,KY8365695,ACT,51805.95179,142.366066,MARTIN,P1,"CARDINAL RECLAMATION COMPANY, LLC",HAZARD,  SU   6  10/19/2020,Active,10/19/2020,PERMANENT,8365248,51805.95179,6201465.815
2483,Polygon,8367012,SF,KY Division of Mine Permits,DMP E_Shape,KY8367012,ACT,57359.4395,70.406066,LANCER,A1,MATT/CO INC,PIKEVILLE,  MT   4  06/01/2021  RN   2  08/28/2019  AM   2  08/08/2018,Active,5/6/2009,PERMANENT,8367012,57359.4395,3066888.253
2486,Polygon,8367018,SF,KY Division of Mine Permits,KYDMP,KY8367018,ACT,49638.97515,20.327025,MCDOWELL,A2,LIBERTY MANAGEMENT LLC,PIKEVILLE,  MT   4  01/24/2017  SU   3  11/05/2015,Active,11/5/2015,PERMANENT,8367008,49638.97515,885445.2631
2487,Polygon,8367019,SF,KY Division of Mine Permits,KYDMP,KY8367019,ACT,43588.55248,49.987514,MARTIN,A2,LIBERTY MANAGEMENT LLC,HAZARD,  SU   2  11/05/2015,Active,11/5/2015,PERMANENT,8367014,43588.55248,2177455.816
2503,Polygon,8368043,SF,KY Division of Mine Permits,KYDMP,KY8368043,ACT,5516.893883,12.762621,LANCER,A1,NFC MINING INC,PIKEVILLE,  MI   7  10/31/2019  MT   6  09/05/2018  RN   6  04/25/2017,Active,7/6/2000,PERMANENT,8368005,5516.893883,555939.7606
2504,Polygon,8368050,SF,KY Division of Mine Permits,KYDMP,KY8368050,ACT,3053.907768,3.376978,LANCER,P1,MARE CREEK SAND COMPANY INCORPORATED,PIKEVILLE,  MT   5  11/21/2017  RN   3  11/22/2011  MT   4  03/17/2008,Active,8/1/2002,PERMANENT,8368035,3053.907768,147101.1676
2514,Polygon,8368070,SF,KY Division of Mine Permits,KYDMP,KY8368070,ACT,2539.391404,4.08267,MARTIN,A1,KENTUCKY FUEL CORPORATION,HAZARD,  MT   9  10/01/2019  RN   6  04/25/2019  MT   8  05/17/2017,Active,7/13/2010,PERMANENT,8366015,2539.391404,177841.1313
2517,Polygon,8368076,SF,KY Division of Mine Permits,KYDMP,KY8368076,ACT,55629.16226,157.469868,MCDOWELL,A2,"SOUTHEASTERN LAND, LLC",HAZARD,  RN   7  06/29/2020  MT   6  06/19/2015  RN   6  12/22/2014,Active,6/12/2014,PERMANENT,2368035,55629.16226,6859387.462
2519,Polygon,8368078,SF,KY Division of Mine Permits,KYDMP,KY8368078,ACT,25145.69984,41.835918,WHEELWRIGHT,A1,"SPURLOCK MINING, LLC",PIKEVILLE,  MA   9  08/14/2020  RN   7  04/02/2020  MI   8  10/24/2018,Active,9/22/2016,PERMANENT,8368002,25145.69984,1822372.582
2520,Polygon,8368079,SF,KY Division of Mine Permits,DMP E_Shape,KY8368079,ACT,46541.99127,362.239008,HAROLD,A1,"SPURLOCK MINING, LLC",HAZARD,  MI  25  03/25/2021  AM   8  08/14/2020  RN   7  08/05/2019,Active,7/7/2016,PERMANENT,368006,46541.99193,15779131.07
2523,Polygon,8368082,SF,KY Division of Mine Permits,KYDMP,KY8368082,ACT,19977.77056,80.510903,MARTIN,A2,LIBERTY MANAGEMENT LLC,HAZARD,  MT   7  04/08/2021  SU   5  11/05/2015,Active,11/5/2015,PERMANENT,368007,19977.77056,3507054.957
2524,Polygon,8368083,SF,KY Division of Mine Permits,KYDMP,KY8368083,ACT,27368.88339,187.318552,HAROLD,A2,LIBERTY MANAGEMENT LLC,PIKEVILLE,  SU   4  11/05/2015,Active,11/5/2015,PERMANENT,8368000,27368.88339,8159596.17
2525,Polygon,8368084,SF,KY Division of Mine Permits,DMP E_Shape,KY8368084,ACT,22108.89573,86.802018,DAVID,A1,LIBERTY MANAGEMENT LLC,HAZARD,  MT   1  06/15/2021  AM   1  02/05/2021  NW   1  04/24/2019,Active,4/24/2019,PERMANENT,8368084,22108.89708,3781095.902
