OBJECTID *,Shape *,PermitNo,FeatCLS,Contact,Source,National_I,Type_Flag,Shape_Leng,Calc_Acres,QUAD_DESC,MINE_STATU,PER_NAME,REGION_DES,PERM_ACT,ACT_INAC,DATE_ISS,PER_TYPE,ORIG_PERM,Shape_Length,Shape_Area
3796,Polygon,8987039,SF,KY Division of Mine Permits,KYDMP,KY8987039,INACT,10579.01908,23.459926,VARNEY,RC,ADDINGTON MINING INC,PIKEVILLE,  SU      08/04/1998,Released,8/4/1998,PERMANENT,8987031,10579.01908,1021914.418
3797,Polygon,8987074,SF,KY Division of Mine Permits,KGS Project,KY8987074,INACT,4471.700899,2.016389,VARNEY,RC,LCC KENTUCKY LLC,PIKEVILLE,  SU   2  04/13/2006,Released,4/13/2006,PERMANENT,8987032,4471.700899,87833.9163
3800,Polygon,8987083,SF,KY Division of Mine Permits,KYDMP,KY8987083,INACT,36728.91602,92.252639,WHEELWRIGHT,RC,DEANE MINING LLC,PIKEVILLE,  SU   2  12/09/2008,Released,12/9/2008,PERMANENT,8987027,23181.66614,2323265.179
3802,Polygon,8987092,SF,KY Division of Mine Permits,KYDMP,KY8987092,INACT,79980.44007,56.209767,MATEWAN,RC,ICG EAST KENTUCKY LLC,PIKEVILLE,  MT   6  08/13/2019  RN   4  10/11/2017  MT   5  01/12/2017,Released,4/5/2012,PERMANENT,8987035,5131.391985,149170.4876
3805,Polygon,8987101,SF,KY Division of Mine Permits,KYDMP,KY8987101,INACT,59399.62942,147.978855,VARNEY,RC,REVELATION ENERGY LLC,PIKEVILLE,  MT   3  10/12/2012  SU   3  09/07/2012,Released,9/7/2012,PERMANENT,8987038,50477.16545,5538228.495
3813,Polygon,8988108,SF,KY Division of Mine Permits,KYDMP,KY8988108,INACT,8552.924634,16.071836,BELFRY,RC,BERKELEY ENERGY CORPORATION,PIKEVILLE,  MT   6  03/27/2014  MA   6  01/28/2014  MT   5  08/22/2011,Released,6/29/1998,PERMANENT,2988020,8552.924634,700089.169
3814,Polygon,8988112,SF,KY Division of Mine Permits,KYDMP,KY8988112,INACT,21135.32371,12.884103,BROAD BOTTOM,RC,PETER FORK MINING COMPANY,PIKEVILLE,  MT   2  12/29/2004  MTS   1  03/27/2002  RN   3  10/03/200,Released,2/24/2000,PERMANENT,8988026,21135.32371,561231.2471
3815,Polygon,8988119,SF,KY Division of Mine Permits,KYDMP,KY8988119,INACT,3248.463656,1.354518,META,RC,MC MINING LLC,PIKEVILLE,  MT   3  01/08/2013  MT   2  05/14/2010  RN   2  08/12/2008,Released,2/14/2000,PERMANENT,8988102,3248.463656,59002.80954
3817,Polygon,8988130,SF,KY Division of Mine Permits,KYDMP,KY8989130,INACT,4521.163127,7.105802,META,RC,AEP KENTUCKY COAL LLC,PIKEVILLE,  MT   3  10/28/2002  SU   1  03/29/2002,Released,3/29/2002,PERMANENT,2988040,4521.163127,309528.7517
3818,Polygon,8988139,SF,KY Division of Mine Permits,KYDMP,KY8988139,INACT,5758.716274,19.525078,PIKEVILLE,RC,CAM MINING LLC,PIKEVILLE,  MT   5  09/14/2011  MI   7  10/27/2010  RN   5  05/21/2009,Released,8/19/2003,PERMANENT,2988061,5758.716274,850512.4127
